,Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
0,Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0.0,0,2,2,0,0,2,7,,2.0,,,,,60.0,,65.0,85.0,,550.0
1,Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0.0,0,0,0,0,4,0,4,,1.0,,,,,44.0,,47.0,53.0,,0.0
2,Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0.0,0,0,0,1,0,2,3,,1.0,,,,,36.0,,30.0,34.0,,30.0
3,Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,0.0,1,0,2,2,1,2,8,,4.0,,,,,81.0,,89.0,89.0,,0.0
4,Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0.0,0,1,2,3,1,0,7,,2.0,,,,,49.0,,74.0,78.0,,80.0
5,Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0.0,0,0,0,1,3,1,5,,2.0,,,,,84.0,,47.0,47.0,,0.0
6,Bear Mountain,Sierra Nevada,California,8805,1665,7140,0,0.0,0,2,1,2,3,4,12,,14.0,,,,,76.0,,57.91695652173913,64.1668100358423,,0.0
7,Bear Valley,Sierra Nevada,California,8500,1900,6600,0,0.0,1,1,0,2,4,2,10,,2.0,,,,,52.0,,57.91695652173913,64.1668100358423,,0.0
8,Boreal Mountain Resort,Sierra Nevada,California,7700,500,7200,0,0.0,0,1,1,3,1,2,8,,6.0,,,,,54.0,,49.0,64.1668100358423,,200.0
9,Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0.0,0,0,1,2,5,4,12,,5.0,,,,,69.0,,78.0,78.0,,0.0
10,Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0.0,0,0,0,1,5,2,8,,2.0,,,,,82.0,,75.0,75.0,,0.0
11,Heavenly Mountain Resort,Sierra Nevada,California,10067,3500,7170,2,0.0,2,7,1,5,3,8,28,,3.0,,,,,64.0,,57.91695652173913,64.1668100358423,,0.0
12,June Mountain,Sierra Nevada,California,10090,2590,7545,0,0.0,0,2,0,0,4,1,7,,2.0,,,,,58.0,,57.91695652173913,64.1668100358423,,0.0
13,Kirkwood,Sierra Nevada,California,9800,2000,7800,0,0.0,0,2,1,5,1,3,12,,2.0,,,,,47.0,,57.91695652173913,64.1668100358423,,0.0
14,Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,0.0,2,9,1,6,4,0,25,,7.0,,,,,66.0,,149.0,159.0,,0.0
15,Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0.0,0,0,0,3,0,1,4,,2.0,,,,,34.0,,49.0,59.0,,0.0
16,Mountain High,Sierra Nevada,California,8200,1600,6600,0,0.0,0,2,2,2,5,3,14,,1.0,,,,,95.0,,84.0,84.0,,73.0
17,Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,0.0,0,0,0,0,4,0,4,,0.0,,,,,67.0,,69.0,69.0,,0.0
18,Northstar California,Sierra Nevada,California,8610,2280,6330,2,0.0,1,7,1,2,0,7,20,,9.0,,,,,47.0,,57.91695652173913,64.1668100358423,,0.0
